Type,"Date effective from","Date no longer in force",Name,ABN,City,State,Postcode,"Provider Number","Other relevant info","Registration Groups","Relevant information"
"ER - Banning Order",2026-05-15T07:00:00,2031-05-15T07:00:00,"DIONGSON, Delia",62998343437,"Point Cook",VIC,3030,,,,"On 5 May 2026 a banning order was made under section 73ZN (2)(a)(iii) of the National Disability Insurance Scheme Act 2013 prohibiting Delia Diongson, for a period of five (5) years, from: 1. Providing, being involved or assisting in the provision, to any NDIS participant, of any supports and/or services under a participant’s plan and which involves unsupervised contact with NDIS participants, whether in a NDIS participant's home or elsewhere. In this instance: • 'Contact' means face-to face contact, oral communication, written communication or electronic communication, where you are physically touching the participant, speaking with, or building a rapport with the participant • ‘Unsupervised’ means not requiring direct continuous supervision by a supervisor or senior colleague • NDIS participant means a participant within the meaning of section 9 of the NDIS Act • NDIS provider means a NDIS provider within the meaning of section 9 of the NDIS Act and • Participant’s plan means a plan within the meaning of section 9 of the NDIS Act. This order takes effect at 5:00pm on 15 May 2026 and operates across all states and territories of Australia."
"ER - Banning Order",2026-05-13T07:00:00,,"Sydney Best Care Pty Ltd",24658773365,"Wiley Park",NSW,2195,,,,"On 29 April 2026 a banning order was made under sections 73ZN(1)(a) of the National Disability Insurance Scheme Act 2013 prohibiting Sydney Best Care Pty Ltd from being engaged in the following NDIS activities:a) The provision, to any NDIS participant, of any of the classes of support set out in rule 20(3) of the NDIS (Provider Registration and Practice Standards) Rules 2018. b) Engaging in activities that would be undertaken by a consultant for an NDIS provider, including services that involve assisting with, or advising on, applications under section 73C of the NDIS Act for registration as a registered NDIS provider. c) Engaging in activities in a non-service and non-support delivery role for an NDIS provider, the extent that those activities have a direct effect on the provision of NDIS funded supports or service to people with disability in the NDIS. d) Providing or being involved or assisting in the provision, to any NDIS participant, of any support or supports under a participant’s plan. NDIS Participant means a participant within the meaning of section 9 of the NDIS Act; NDIS Provider means an NDIS Provider within the meaning of section 9 of the NDIS Act; Participant’s Plan means a plan within the meaning of section 9 of the NDIS Act. This banning order takes effect permanently at 5.00pm AEST on 13 May 2026 and operates across all States and Territories of Australia"
"ER - Revocation of registration",2026-05-13T07:00:00,,"Sydney Best Care Pty Ltd",24658773365,"Wiley Park",NSW,2195,,,"106 assistance in coordinating or managing life stages, transitions and supports; 107 assistance with daily personal activities; 115 assistance with daily life tasks in a group or shared living arrangement; 117 development of daily living and life skills; 120 household tasks; 125 participation in community, social and civic activities","On 29 April 2026, a notice of revocation of registration was issued to Sydney Best Care Pty Ltd under sections 73P(1)(a) and 73P(1)(d) of the National Disability Insurance Scheme Act 2013. The revocation takes effect from 5:00pm AEST on 13 May 2026"
"ER - Revocation of registration",2026-05-12T07:00:00,,"Mon Cheri Gifts Pty Ltd T/A Diversity Models",25644635165,Benowa,QLD,4217,,,"116 innovative community participation","On 28 April 2026, the revocation of registration order was made against Mon Cheri Gifts Pty Ltd T/A Diversity Models under section 73P(1)(e) of the National Disability Insurance Scheme Act 2013 prohibiting Mon Cheri Gifts Pty Ltd from being engaged in the following NDIS supports or services.Mon Cheri Gifts Pty Ltd can no longer operate as a registered NDIS provider and as such is prohibited from:Undertaking all activities associated with registration as a registered NDIS provider and must not represent itself as a registered NDIS provider, as at the date the revocation takes effect.Providing supports and services that require registration as set out in the National Disability Insurance Scheme (Provider Registration and Practice Standards) Rules 2018 including innovative community participation.Providing supports and services to any NDIS participant whose plan is managed by the National Disability Insurance Agency.Delivering activities that a registered NDIS provider would undertake, to the extent that those activities relate to NDIS supports or services. NDIS Participant means a participant within the meaning of section 9 of the NDIS Act; NDIS Provider means an NDIS Provider within the meaning of section 9 of the NDIS Act; Participant’s Plan means a plan within the meaning of section 9 of the NDIS Act. This Order takes effect on 12 May 2026 at 5:00pm AEST and operates across all states and territories of Australia.Further information:The revocation decision was made on the basis that a delegate of the Commissioner is no longer satisfied that Ms Monique Jeremiah, key personnel of Mon Cheri Gifts Pty Ltd T/A Diversity Models, is suitable to be involved in the provision of supports or services for which she is registered to provide, having regard to any matters prescribed by the National Disability Insurance Scheme including the requirements under section 73V of the National Disability Insurance Scheme Act 2013.In forming this belief, the delegate considered Ms Jeremiah’s disregard for her obligations under the section 6(1)(b) (respect the privacy of people with a disability) and section 6(1)(d) (act with integrity, honesty and transparency) of the NDIS (Code of Conduct) Rules 2018"
"ER - Banning Order",2026-05-12T07:00:00,,"Tyrone William John Dow",51835690592,WARRNAMBOOL,VIC,3280,,,,"On 13 April 2026, a banning order was made under section 73ZN (1)(b)(iii) of the National Disability Insurance Scheme Act 2013, prohibiting Tyrone William John Dow from providing supports and services to persons with disability in the National Disability Insurance Scheme (NDIS). Specifically, the order permanently prohibits/restricts Mr Tyrone William John Dow and multiple aliases, including through the sole trader ABN 51 835 690 592, from engaging in the provision or management of NDIS supports, services or funding to people with disability in the National Disability Insurance Scheme (NDIS), including but not limited to:a) Delivering supports or services to NDIS funded participants;b) Engaging in activities that a member of the key personnel of a NDIS provider would undertake, to the extent that those activities relate to NDIS supports or services;c) Engaging in activities that would be undertaken by a consultant for a NDIS provider, to the extent that those activities relate to NDIS supports or services;d) Engaging in activities that would be undertaken by an auditor for a NDIS provider, to the extent that those activities relate to NDIS supports or services; and/ore) Engaging in activities in a non-service and non-support delivery role for a NDIS provider, to the extent that those activities have a direct effect on the provision of NDIS funded supports or services to people with disability in the NDIS. The Banning Order is effective from 5:00pm AEST on 12 May 2026 and operates across all States and Territories in Australia.Further information: The banning order was made on the basis that a delegate of the Commissioner reasonably believes that:Mr Tyrone William John Dow as an individual and his business Yidaki Support Services Pty Ltd are not suitable to be involved in the provision of supports or services to people with disability."
"ER - Banning Order",2026-05-12T07:00:00,,"Yidaki Support Services Pty Ltd",39688012348,WARRNAMBOOL,VIC,3280,,,,"On 13 April 2026, a banning order was made under section 73ZN (1)(b)(iii) of the National Disability Insurance Scheme Act 2013, prohibiting Yidaki Support Services Pty Ltd from providing supports and services to persons with disability in the National Disability Insurance Scheme (NDIS). A permanent banning order was made against Yidaki Support Services Pty Ltd, ABN 39 688 012 348, under section 73ZN(1)(b)(iii) of the NDIS Act, prohibiting/restricting Yidaki Support Services Pty Ltd from engaging in the provision or management of NDIS supports, services or funding to people with disability in the National Disability Insurance Scheme (NDIS), including but not limited to:a) Engaging in activities of, and as, a NDIS provider;b) Engaging in activities that would be undertaken by a consultant for a NDIS provider, to the extent that those activities relate to NDIS supports or services;c) Engaging in activities that would be undertaken by an auditor for a NDIS provider, to the extent that those activities relate to NDIS supports or services; and/ord) Engaging in activities in a non-service and non-support delivery role for a NDIS provider, to the extent that those activities have a direct effect on the provision of NDIS funded supports or services to people with disability in the NDIS.This permanent banning order takes effect on 12 May 2026 (AEST) at 5pm and operates across all States and Territories of AustraliaFurther information: The banning order was made on the basis that a delegate of the Commissioner reasonably believes that:Mr Tyrone William John Dow as an individual and his business Yidaki Support Services Pty Ltd are not suitable to be involved in the provision of supports or services to people with disability."
"ER - Banning Order",2026-05-11T07:00:00,,"Furkhan Biyabani",,"Wiley Park",NSW,2195,,,,"On 27 April 2026 a banning order was made under sections 73ZN(2)(a)(i), 73ZN(2)(a)(ii) and 73ZN(2)(a)(iii) of the National Disability Insurance Scheme Act 2013. The permanent banning order prohibits Furkhan BIYABANI from being engaged in the following NDIS activities: a) The provision, to any NDIS participant1, of any of the classes of support set out in rule 20(3) of NDIS (Provider Registration and Practice Standards) Rules 2018. b) Undertaking any management role, as the key personnel of an NDIS provider as defined in section 11A of the NDIS Act. c) Working in a non-service and support delivery role for an NDIS provider. d) Engaging in activities that would be undertaken by a consultant for an NDIS provider, including services that involve assisting with, or advising on, applications under section 73C of the NDIS Act for registration as a registered NDIS provider. e) Engaging in activities that would be undertaken by an approved quality auditor for an NDIS provider, including services that enable or facilitate the provision of supports or services for people with disability. f) Being employed or otherwise engaged by an approved quality auditor, including as a member of the approved quality auditor's key personnel, to the extent that those activities relate to NDIS supports or services. This banning order takes permanent effect on 5.00pm AEST on 11 May 2026 and operates across all States and Territories of Australia."
"ER - Compliance notice",2026-05-06T07:00:00,,"Minka Blue PTY LTD",19635004152,Bathurst,NSW,2795,,,,"On the 6 May 2026 , NDIS Provider Minka Blue was issued a Compliance Notice – decision to vary under section 73ZM(4) of the National Disability Insurance Scheme Act 2013 (NDIS Act) on the basis that a delegate of the Commissioner reasonably believes that Minka Blue PTY LTD has contravened section 73ZM(3) of the NDIS Act. More specifically, the failure by Minka Blue PTY LTD to have complied with a Compliance Notice."
"ER - Compliance notice",2026-05-04T07:00:00,,"Diverse Abilities Wellbeing Network Pty Ltd",59651116031,Townsville,QLD,4810,,,,"On 04 May 2026, a compliance notice was issued to Diverse Abilities Wellbeing Network Pty Ltd under section 73ZM(1)(b) of the National Disability Insurance Scheme Act 2013 (NDIS Act).More specifically, the failure by Diverse Abilities Wellbeing Network Pty Ltd to be in breach of NDIS (Provider Registration and Practice Standards) Rules and Guidance which is a breach of section 73J of the NDIS Act.The notice requires Diverse Abilities Wellbeing Network Pty Ltd to take certain action in order to address non-compliance with section 73J of the NDIS Act."
"ER - Banning Order",2026-05-01T07:00:00,,"CORY LLOYD CROMBIE",,Dalyellup,WA,6230,,,,"On 28 April 2026, a permanent banning order was made under section 73ZN(2)(a)(iii) of the National Disability Insurance Scheme Act 2013, prohibiting Mr Cory Lloyd Crombie from providing supports and services to persons with disability in the National Disability Insurance Scheme (NDIS). Specifically, the order permanently prohibits Mr Cory Lloyd Crombie from being engaged in the following NDIS activities: • Provide or be involved or assist in the provision, to any NDIS Participant, of any support or supports under a Participant’s Plan. • Provide or be involved or assist in the provision, to any NDIS Participant, of any service or services under a Participant’s Plan. • Engage in any work or provide or perform any service or services (whether paid or unpaid) for or on behalf of any NDIS Provider, which may occasion any personal contact between you and an NDIS Participant. Note: Personal contact refers to direct interaction between persons, which includes (but is not limited to) bodily contact with another person, or where persons are in the same physical location where bodily contact is possible. Personal contact also includes (but is not limited to) communications, such as physically speaking to another person, speaking over the phone, emailing, writing a letter, or sending text messages. NDIS Participant means a participant within the meaning of section 9 of the NDIS Act; NDIS Provider means an NDIS Provider within the meaning of section 9 of the NDIS Act; Participant’s Plan means a plan within the meaning of section 9 of the NDIS ActThis permanent order takes effect from 5.00 pm AWST on 1 May 2026 and operates across all States and Territories of Australia"
"ER - Banning Order",2026-04-30T07:00:00,2028-04-30T07:00:00,"Monique Jeremiah",25644635165,Benowa,QLD,4217,,,,"On 27 April 2026, a banning order was made under section 73ZN(2)(a)(iii) of the National Disability Insurance Scheme Act 2013 prohibiting Ms Monique Jeremiah from being engaged in the following NDIS supports or services: 1. Engaging in activities that a member of the key personnel of a National Disability Insurance Scheme (NDIS) provider would undertake, to the extent that those activities relate to NDIS supports or services. 2. Engaging in activities that would be undertaken by a consultant for an NDIS provider, to the extent that those activities relate to NDIS supports or services. 3. Engaging in activities that would be undertaken by an auditor for an NDIS provider, to the extent that those activities relate to NDIS supports or services. 4. Engaging in activities in a non-service and non-support delivery role for an NDIS provider, to the extent that those activities have a direct effect on the provision of NDIS funded supports of services to people with disability in the NDIS. 5. Engaging in the provision or management of NDIS supports, services or funding to people with disability in the NDIS. 6. Providing or being involved or assisting in the provision, to any NDIS participant, of any support or supports under an NDIS participant’s plan. 7. Engaging in any work or providing or performing any service or services (whether paid or unpaid), for or on behalf of any NDIS provider, which may occasion any personal contact between you and an NDIS participant. NDIS Participant means a participant within the meaning of section 9 of the NDIS Act; NDIS Provider means an NDIS Provider within the meaning of section 9 of the NDIS Act; Participant’s Plan means a plan within the meaning of section 9 of the NDIS Act. This Order takes effect on 30 April 2026 at 5:00 PM AEST for a period of 2 years and operates across all states and territories of Australia."
"ER - Compliance notice",2026-04-30T07:00:00,,"YES WE CAN DISABILITY SERVICES PTY LTD, t/a COORDINATED CARE SERVICES",11630019813,Dickson,ACT,2602,,,,"On 30 April 2026, NDIS Provider YES WE CAN DISABILITY SERVICES PTY LTD was issued with a compliance notice under section 73ZM(1)(b) of the National Disability Insurance Scheme Act 2013 (NDIS Act). YES WE CAN DISABILITY SERVICES PTY LTD is required to take action to address potential non-compliance with regard to:Section 9(2) of the NDIS (Restrictive Practices and Behaviour Support) Rules 2018.The compliance notice was issued on the basis that a delegate of the Commissioner was aware of information that suggests YES WE CAN DISABILITY SERVICES PTY LTD may be contravening section 73J of the NDIS Act, by failing to comply with conditions of registration relating to the authorisation of regulated restrictive practices."
"ER - Banning Order",2026-04-28T07:00:00,2031-04-28T07:00:00,"Mistee Theresa Royal",30640457850,"Lake Tyres",VIC,3909,,,,"On 31 March 2026 a banning order was made under section 73ZN(2)(a)(iii) of the National Disability Insurance Scheme Act 2013 prohibiting Mistee Theresa Royal from being engaged in the following NDIS supports or services:a) Provide or be involved or assist in the provision, to any NDIS Participant, of any direct support or supports under a Participant’s Plan and:b) Provide or be involved or assist in the provision, to any NDIS Participant, of any direct service or services under a Participant’s PlanNDIS Participant means a participant within the meaning of section 9 of the NDIS Act. Participant’s Plan means a plan within the meaning of section 9 of the NDIS ActThis banning order takes effect on 28 April 2026 at 5:00pm and operates across all States and Territories of Australia for a period of five years."
"ER - Banning Order",2026-04-28T07:00:00,2030-04-28T07:00:00,"West John Paul Goehner",77594119446,"Lakes Entrance",VIC,3909,,,,"On 31 March 2026 a banning order was made under section 73ZN(2)(a)(iii) of the National Disability Insurance Scheme Act 2013 prohibiting West John Paul Goehner from being engaged in the following NDIS supports or services:a) engaging in the provision or management of NDIS supports, services or funding to people with disability in the NDIS;b) engaging in activities that a member of the key personnel of an NDIS provider would undertake, to the extent that those activities relate to NDIS supports or services;c) engaging in activities that would be undertaken by a consultant for an NDIS provider, to the extent that those activities relate to NDIS supports or services;d) engaging in activities in a non-service and non-support delivery role for an NDIS provider, the extent that those activities have a direct effect on the provision of NDIS funded supports or service to people with disability in the NDIS.NDIS Provider means a NDIS Provider within the meaning of section 9 of the NDIS Act.This banning order takes effect on 28 April 2026 at 5:00pm and operates across all States and Territories of Australia for a period of four years."
"ER - Banning Order",2026-04-28T07:00:00,,"Darren John Roberts",,Pakenham,VIC,3810,,,,"On 13 April 2026, a banning order was made under section 73ZN (2)(a)(iii) of the National Disability Insurance Scheme Act 2013, prohibiting Darren John Roberts from providing supports and services to persons with disability in the National Disability Insurance Scheme (NDIS). Specifically, the order permanently prohibits Darren John Roberts from being engaged in the following NDIS activities: 1. Providing, by way of personal contact with any NDIS Participant, any support or supports under a Participant’s Plan; and 2. Providing, by way of personal contact with any NDIS Participant, any service or services under a Participant’s Plan; and 3. Engaging in any work, or providing or performing any support or supports (whether paid or unpaid), for or on behalf of any NDIS Provider, which may occasion any personal contact with an NDIS Participant; and 4. Engaging in any work, or providing or performing any service or services (whether paid or unpaid), for or on behalf of any NDIS Provider, which may occasion any personal contact with an NDIS Participant. NDIS Participant means a participant within the meaning of section 9 of the NDIS Act. NDIS Provider means an NDIS Provider within the meaning of section 9 of the NDIS Act. Participant’s Plan means a plan within the meaning of section 9 of the NDIS Act. Personal contact means real-time face-to face contact, whether physically or electronically, with any NDIS Participant. This banning order takes effect permanently from 28 April 2026 and operates across all States and Territories of Australia."
"ER - Revocation of registration",2026-04-27T07:00:00,,"Kk Moven Pty Ltd",60655428194,Davidson,NSW,2085,,,"106 assistance in coordinating or managing life stages, transitions and supports; 107 assistance with daily personal activities; 108 assistance with travel/transport arrangements; 114 community nursing care; 115 assistance with daily life tasks in a group or shared living arrangement; 116 innovative community participation; 117 development of daily living and life skills; 120 household tasks; 125 participation in community, social and civic activities; 136 group and centre-based activities","On 27 April 2026, a notice of revocation of registration was issued to Kk Moven Pty Ltd under section 73P(1)(d) of the National Disability Insurance Scheme Act 2013.The revocation takes effect from 12 May 2026.The revocation was issued on grounds that a Delegate of the Commissioner has formed a reasonable belief that Kk Moven Pty Ltd is no longer suitable to provide supports or services to people with disability, having regard to the out of cycle audit outcome."
"ER - Banning Order",2026-04-24T07:00:00,2029-04-24T07:00:00,"Simon James NUGUS",,"RUNAWAY BAY",QLD,4216,,,,"On 13 April 2026, a banning order was made under section 73ZN (2)(a)(i) and 73ZN (2)(a)(iii) of the National Disability Insurance Scheme Act 2013, prohibiting Simon James NUGUS from providing supports and services to persons with disability in the National Disability Insurance Scheme (NDIS). Specifically, the order prohibits Simon James NUGUS from being engaged in the following NDIS activities: engaging in activities that a member of the key personnel of an NDIS provider would undertake, to the extent that those activities relate to NDIS supports or services;engaging in activities that would be undertaken by a consultant for an NDIS provider, to the extent that those activities relate to NDIS supports or services;engaging in activities that would be undertaken by an auditor for an NDIS provider, to the extent that those activities relate to NDIS supports or services;engaging in activities in a non-service and non-support delivery role for an NDIS provider, the extent that those activities have a direct effect on the provision of NDIS funded supports or service to people with disability in the NDIS;providing or being involved or assisting in the provision, to any NDIS participant, of any support or supports under a participant’s plan;providing or being involved or assisting in the provision, to any NDIS participant, of any service or services under a participant’s plan;engaging in any work or providing or performing any service or services (whether paid or unpaid), for or on behalf of any NDIS provider, which may occasion any personal contact between you and an NDIS participant.This banning order takes effect at 5.00pm AEST on 24 April 2026 for a period of 3 years and operates across all States and Territories of Australia."
